parallel,baseline,latency_ms
10,GoldFish,8.1
11,GoldFish,8.0
12,GoldFish,7.666666666666667
13,GoldFish,7.6923076923076925
14,GoldFish,7.428571428571429
15,GoldFish,6.933333333333334
16,GoldFish,6.875
17,GoldFish,7.117647058823529
18,GoldFish,7.0
19,GoldFish,6.894736842105263
20,GoldFish,7.3
21,GoldFish,6.809523809523809
22,GoldFish,6.590909090909091
23,GoldFish,6.695652173913044
24,GoldFish,6.875
25,GoldFish,6.64
26,GoldFish,6.538461538461538
27,GoldFish,6.518518518518518
28,GoldFish,6.571428571428571
29,GoldFish,6.758620689655173
30,GoldFish,6.666666666666667
31,GoldFish,6.193548387096774
32,GoldFish,6.84375
33,GoldFish,6.515151515151516
34,GoldFish,6.323529411764706
35,GoldFish,6.371428571428571
36,GoldFish,6.333333333333333
37,GoldFish,6.702702702702703
38,GoldFish,6.342105263157895
39,GoldFish,6.205128205128205
40,GoldFish,6.15
41,GoldFish,6.2926829268292686
42,GoldFish,6.095238095238095
43,GoldFish,6.6976744186046515
44,GoldFish,6.363636363636363
45,GoldFish,6.311111111111111
46,GoldFish,6.369565217391305
47,GoldFish,6.425531914893617
48,GoldFish,6.270833333333333
49,GoldFish,6.163265306122449
50,GoldFish,6.56
51,GoldFish,6.137254901960785
52,GoldFish,6.269230769230769
53,GoldFish,5.962264150943396
54,GoldFish,6.111111111111111
55,GoldFish,6.236363636363636
56,GoldFish,6.071428571428571
57,GoldFish,6.105263157894737
58,GoldFish,6.206896551724138
59,GoldFish,6.0
60,GoldFish,5.9
61,GoldFish,5.934426229508197
62,GoldFish,6.0
63,GoldFish,6.174603174603175
64,GoldFish,6.046875
65,GoldFish,6.153846153846154
66,GoldFish,6.075757575757576
67,GoldFish,6.164179104477612
68,GoldFish,5.911764705882353
69,GoldFish,5.840579710144928
70,GoldFish,6.242857142857143
71,GoldFish,6.225352112676056
72,GoldFish,6.055555555555555
73,GoldFish,5.931506849315069
74,GoldFish,6.027027027027027
75,GoldFish,6.08
76,GoldFish,5.934210526315789
77,GoldFish,5.9480519480519485
78,GoldFish,6.17948717948718
79,GoldFish,5.8734177215189876
80,GoldFish,5.7125
81,GoldFish,5.617283950617284
82,GoldFish,5.7682926829268295
83,GoldFish,5.963855421686747
84,GoldFish,5.714285714285714
85,GoldFish,6.329411764705882
86,GoldFish,6.011627906976744
87,GoldFish,6.310344827586207
88,GoldFish,5.659090909090909
89,GoldFish,6.078651685393258
90,GoldFish,5.844444444444444
91,GoldFish,5.9010989010989015
92,GoldFish,5.684782608695652
93,GoldFish,6.032258064516129
94,GoldFish,6.074468085106383
95,GoldFish,6.042105263157895
96,GoldFish,6.760416666666667
97,GoldFish,6.144329896907217
98,GoldFish,5.969387755102041
99,GoldFish,5.878787878787879
100,GoldFish,5.75
10,OpenFaaS,54.05714285714286
11,OpenFaaS,53.57142857142858
12,OpenFaaS,53.86904761904762
13,OpenFaaS,53.94505494505495
14,OpenFaaS,54.775510204081634
15,OpenFaaS,53.46666666666667
16,OpenFaaS,54.848214285714285
17,OpenFaaS,53.72268907563026
18,OpenFaaS,55.91269841269841
19,OpenFaaS,53.962406015037594
20,OpenFaaS,54.8
21,OpenFaaS,52.197278911564624
22,OpenFaaS,52.25974025974026
23,OpenFaaS,52.14285714285714
24,OpenFaaS,53.4345238095238
25,OpenFaaS,52.72
26,OpenFaaS,51.73076923076923
27,OpenFaaS,50.82539682539682
28,OpenFaaS,51.857142857142854
29,OpenFaaS,50.610837438423644
30,OpenFaaS,51.10952380952381
31,OpenFaaS,51.16589861751152
32,OpenFaaS,50.924107142857146
33,OpenFaaS,51.63203463203463
34,OpenFaaS,50.714285714285715
35,OpenFaaS,50.63265306122449
36,OpenFaaS,50.638888888888886
37,OpenFaaS,50.664092664092664
38,OpenFaaS,51.50375939849624
39,OpenFaaS,51.62271062271062
40,OpenFaaS,51.332142857142856
41,OpenFaaS,50.76655052264809
42,OpenFaaS,51.70748299319728
43,OpenFaaS,50.93687707641196
44,OpenFaaS,51.399350649350644
45,OpenFaaS,50.78730158730159
46,OpenFaaS,51.226708074534166
47,OpenFaaS,50.86322188449848
48,OpenFaaS,50.76785714285714
49,OpenFaaS,51.37900874635568
50,OpenFaaS,51.4
51,OpenFaaS,50.88235294117647
52,OpenFaaS,51.065934065934066
53,OpenFaaS,50.98652291105121
54,OpenFaaS,50.64021164021164
55,OpenFaaS,51.506493506493506
56,OpenFaaS,51.558673469387756
57,OpenFaaS,50.578947368421055
58,OpenFaaS,51.3743842364532
59,OpenFaaS,50.59322033898305
60,OpenFaaS,50.88095238095238
61,OpenFaaS,50.48946135831381
62,OpenFaaS,51.05069124423964
63,OpenFaaS,51.18140589569161
64,OpenFaaS,51.765625
65,OpenFaaS,51.58021978021978
66,OpenFaaS,51.10606060606061
67,OpenFaaS,50.217484008528785
68,OpenFaaS,51.25630252100841
69,OpenFaaS,51.285714285714285
70,OpenFaaS,51.72857142857143
71,OpenFaaS,51.86317907444668
72,OpenFaaS,51.926587301587304
73,OpenFaaS,52.2720156555773
74,OpenFaaS,51.40926640926641
75,OpenFaaS,51.08190476190477
76,OpenFaaS,51.422932330827074
77,OpenFaaS,51.42115027829314
78,OpenFaaS,51.03663003663004
79,OpenFaaS,51.67269439421339
80,OpenFaaS,51.19642857142857
81,OpenFaaS,51.451499118165785
82,OpenFaaS,50.69686411149826
83,OpenFaaS,50.82616179001721
84,OpenFaaS,50.4234693877551
85,OpenFaaS,50.44201680672269
86,OpenFaaS,51.16943521594684
87,OpenFaaS,50.481116584564866
88,OpenFaaS,51.20292207792208
89,OpenFaaS,50.59069020866774
90,OpenFaaS,50.58412698412698
91,OpenFaaS,50.381475667189946
92,OpenFaaS,51.883540372670815
93,OpenFaaS,51.40860215053763
94,OpenFaaS,50.39817629179331
95,OpenFaaS,51.482706766917296
96,OpenFaaS,50.726190476190474
97,OpenFaaS,50.285714285714285
98,OpenFaaS,50.406705539358605
99,OpenFaaS,51.02020202020202
100,OpenFaaS,50.30571428571429
10,Spin,53.171428571428564
11,Spin,54.09090909090909
12,Spin,53.48809523809524
13,Spin,51.37362637362638
14,Spin,52.08163265306122
15,Spin,53.50476190476191
16,Spin,53.94642857142857
17,Spin,52.596638655462186
18,Spin,52.36507936507937
19,Spin,53.0
20,Spin,53.65714285714286
21,Spin,53.877551020408156
22,Spin,55.45454545454545
23,Spin,54.81987577639752
24,Spin,56.416666666666664
25,Spin,54.38285714285715
26,Spin,55.12637362637362
27,Spin,53.613756613756614
28,Spin,52.734693877551024
29,Spin,51.714285714285715
30,Spin,52.419047619047625
31,Spin,54.41013824884793
32,Spin,53.13392857142857
33,Spin,52.900432900432904
34,Spin,52.46218487394958
35,Spin,54.179591836734694
36,Spin,53.65873015873016
37,Spin,52.06563706563706
38,Spin,53.48872180451128
39,Spin,52.2967032967033
40,Spin,52.38214285714285
41,Spin,52.59233449477352
42,Spin,52.54421768707483
43,Spin,53.1328903654485
44,Spin,53.30194805194805
45,Spin,53.158730158730165
46,Spin,52.45652173913044
47,Spin,52.726443768996965
48,Spin,51.86309523809524
