parallel,baseline,latency_ms
10,GoldFish,6.4
11,GoldFish,6.363636363636363
12,GoldFish,6.333333333333333
13,GoldFish,5.615384615384615
14,GoldFish,5.714285714285714
15,GoldFish,6.133333333333334
16,GoldFish,5.4375
17,GoldFish,5.294117647058823
18,GoldFish,5.722222222222222
19,GoldFish,5.421052631578948
20,GoldFish,5.45
21,GoldFish,5.190476190476191
22,GoldFish,5.318181818181818
23,GoldFish,5.304347826086956
24,GoldFish,5.208333333333333
25,GoldFish,4.92
26,GoldFish,5.1923076923076925
27,GoldFish,5.296296296296297
28,GoldFish,4.821428571428571
29,GoldFish,5.310344827586207
30,GoldFish,4.733333333333333
31,GoldFish,4.741935483870968
32,GoldFish,5.0625
33,GoldFish,5.303030303030303
34,GoldFish,5.088235294117647
35,GoldFish,5.085714285714285
36,GoldFish,4.972222222222222
37,GoldFish,5.081081081081081
38,GoldFish,4.973684210526316
39,GoldFish,5.051282051282051
40,GoldFish,5.05
41,GoldFish,4.951219512195122
42,GoldFish,4.857142857142857
43,GoldFish,4.953488372093023
44,GoldFish,4.568181818181818
45,GoldFish,4.866666666666666
46,GoldFish,4.543478260869565
47,GoldFish,4.76595744680851
48,GoldFish,4.854166666666667
49,GoldFish,4.63265306122449
50,GoldFish,5.04
51,GoldFish,4.431372549019608
52,GoldFish,4.9423076923076925
53,GoldFish,4.90566037735849
54,GoldFish,4.814814814814815
55,GoldFish,4.890909090909091
56,GoldFish,4.946428571428571
57,GoldFish,4.526315789473684
58,GoldFish,4.5
59,GoldFish,4.796610169491525
60,GoldFish,4.6
61,GoldFish,4.639344262295082
62,GoldFish,4.661290322580645
63,GoldFish,4.888888888888889
64,GoldFish,4.703125
65,GoldFish,4.615384615384615
66,GoldFish,4.348484848484849
67,GoldFish,4.567164179104478
68,GoldFish,4.5
69,GoldFish,4.405797101449275
70,GoldFish,4.371428571428571
71,GoldFish,4.169014084507042
72,GoldFish,4.416666666666667
73,GoldFish,4.273972602739726
74,GoldFish,4.3108108108108105
75,GoldFish,4.466666666666667
76,GoldFish,4.302631578947368
77,GoldFish,4.5064935064935066
78,GoldFish,4.410256410256411
79,GoldFish,4.481012658227848
80,GoldFish,4.2375
81,GoldFish,4.444444444444445
82,GoldFish,4.414634146341464
83,GoldFish,4.373493975903615
84,GoldFish,4.392857142857143
85,GoldFish,4.447058823529412
86,GoldFish,4.569767441860465
87,GoldFish,4.448275862068965
88,GoldFish,4.045454545454546
89,GoldFish,4.50561797752809
90,GoldFish,4.355555555555555
91,GoldFish,4.483516483516484
92,GoldFish,4.228260869565218
93,GoldFish,4.258064516129032
94,GoldFish,4.382978723404255
95,GoldFish,4.6
96,GoldFish,4.666666666666667
97,GoldFish,4.515463917525773
98,GoldFish,4.479591836734694
99,GoldFish,4.3232323232323235
100,GoldFish,4.23
10,OpenFaaS,53.642857142857146
11,OpenFaaS,56.81818181818182
12,OpenFaaS,56.8095238095238
13,OpenFaaS,56.42857142857143
14,OpenFaaS,55.10204081632653
15,OpenFaaS,57.46666666666667
16,OpenFaaS,54.92857142857143
17,OpenFaaS,56.81512605042017
18,OpenFaaS,55.26190476190476
19,OpenFaaS,52.75187969924812
20,OpenFaaS,55.885714285714286
21,OpenFaaS,53.38095238095238
22,OpenFaaS,53.15584415584415
23,OpenFaaS,53.57142857142857
24,OpenFaaS,52.976190476190474
25,OpenFaaS,53.61714285714285
26,OpenFaaS,53.24175824175824
27,OpenFaaS,53.86243386243386
28,OpenFaaS,52.525510204081634
29,OpenFaaS,52.9064039408867
30,OpenFaaS,52.31428571428571
31,OpenFaaS,52.17972350230415
32,OpenFaaS,51.875
33,OpenFaaS,51.23376623376623
34,OpenFaaS,51.26470588235294
35,OpenFaaS,51.20816326530612
36,OpenFaaS,52.12698412698413
37,OpenFaaS,51.567567567567565
38,OpenFaaS,52.66541353383459
39,OpenFaaS,51.83150183150183
40,OpenFaaS,53.08928571428571
41,OpenFaaS,52.33101045296167
42,OpenFaaS,52.93197278911565
43,OpenFaaS,51.73089700996678
44,OpenFaaS,51.51623376623377
45,OpenFaaS,51.022222222222226
46,OpenFaaS,50.9751552795031
47,OpenFaaS,51.50759878419453
48,OpenFaaS,51.229166666666664
49,OpenFaaS,50.84256559766764
50,OpenFaaS,51.56285714285715
51,OpenFaaS,51.1624649859944
52,OpenFaaS,51.70054945054945
53,OpenFaaS,51.900269541778975
54,OpenFaaS,51.22222222222222
