parallel,baseline,throughput_rps
10,GoldFish,156.25
11,GoldFish,157.14285714285714
12,GoldFish,157.89473684210526
13,GoldFish,178.08219178082192
14,GoldFish,175.0
15,GoldFish,163.04347826086956
16,GoldFish,183.9080459770115
17,GoldFish,188.88888888888889
18,GoldFish,174.75728155339806
19,GoldFish,184.46601941747574
20,GoldFish,183.4862385321101
21,GoldFish,192.6605504587156
22,GoldFish,188.03418803418802
23,GoldFish,188.52459016393442
24,GoldFish,192.0
25,GoldFish,203.2520325203252
26,GoldFish,192.59259259259258
27,GoldFish,188.81118881118883
28,GoldFish,207.4074074074074
29,GoldFish,188.3116883116883
30,GoldFish,211.26760563380284
31,GoldFish,210.8843537414966
32,GoldFish,197.53086419753086
33,GoldFish,188.57142857142858
34,GoldFish,196.53179190751447
35,GoldFish,196.6292134831461
36,GoldFish,201.11731843575419
37,GoldFish,196.80851063829786
38,GoldFish,201.05820105820106
39,GoldFish,197.9695431472081
40,GoldFish,198.019801980198
41,GoldFish,201.97044334975368
42,GoldFish,205.8823529411765
43,GoldFish,201.87793427230048
44,GoldFish,218.90547263681592
45,GoldFish,205.4794520547945
46,GoldFish,220.0956937799043
47,GoldFish,209.82142857142856
48,GoldFish,206.0085836909871
49,GoldFish,215.8590308370044
50,GoldFish,198.4126984126984
51,GoldFish,225.66371681415927
52,GoldFish,202.33463035019454
53,GoldFish,203.84615384615384
54,GoldFish,207.69230769230768
55,GoldFish,204.46096654275092
56,GoldFish,202.16606498194943
57,GoldFish,220.93023255813952
58,GoldFish,222.2222222222222
59,GoldFish,208.48056537102477
60,GoldFish,217.39130434782606
61,GoldFish,215.54770318021204
62,GoldFish,214.53287197231836
63,GoldFish,204.54545454545456
64,GoldFish,212.62458471760797
65,GoldFish,216.66666666666669
66,GoldFish,229.9651567944251
67,GoldFish,218.95424836601308
68,GoldFish,222.22222222222223
69,GoldFish,226.97368421052633
70,GoldFish,228.75816993464053
71,GoldFish,239.86486486486487
72,GoldFish,226.41509433962264
73,GoldFish,233.97435897435898
74,GoldFish,231.97492163009403
75,GoldFish,223.88059701492537
76,GoldFish,232.41590214067278
77,GoldFish,221.9020172910663
78,GoldFish,226.74418604651166
79,GoldFish,223.16384180790962
80,GoldFish,235.9882005899705
81,GoldFish,225.0
82,GoldFish,226.51933701657458
83,GoldFish,228.65013774104685
84,GoldFish,227.64227642276424
85,GoldFish,224.86772486772486
86,GoldFish,218.8295165394402
87,GoldFish,224.80620155038758
88,GoldFish,247.19101123595507
89,GoldFish,221.9451371571072
90,GoldFish,229.59183673469386
91,GoldFish,223.03921568627453
92,GoldFish,236.5038560411311
93,GoldFish,234.84848484848484
94,GoldFish,228.15533980582526
95,GoldFish,217.3913043478261
96,GoldFish,214.28571428571428
97,GoldFish,221.46118721461187
98,GoldFish,223.2346241457859
99,GoldFish,231.30841121495328
100,GoldFish,236.4066193853428
10,OpenFaaS,18.95991332611051
11,OpenFaaS,18.762183235867447
12,OpenFaaS,19.004524886877828
13,OpenFaaS,19.60361912968548
14,OpenFaaS,20.506382088302992
15,OpenFaaS,20.061138708444787
16,OpenFaaS,19.756570823778443
17,OpenFaaS,20.492509040812813
18,OpenFaaS,20.4611886976291
19,OpenFaaS,20.333282372725883
20,OpenFaaS,19.68503937007874
21,OpenFaaS,20.08471102609646
22,OpenFaaS,19.930115180535783
23,OpenFaaS,19.682151589242054
24,OpenFaaS,19.808984789529532
25,OpenFaaS,20.50380785002929
26,OpenFaaS,20.451736150129232
27,OpenFaaS,20.412571552003456
28,OpenFaaS,20.465699070690196
29,OpenFaaS,20.34475846863099
30,OpenFaaS,20.73255010366275
31,OpenFaaS,19.774011299435028
32,OpenFaaS,20.023241262179315
33,OpenFaaS,20.562577888552607
34,OpenFaaS,19.844909530559494
35,OpenFaaS,20.308355437665785
36,OpenFaaS,20.46783625730994
37,OpenFaaS,20.459751955130738
38,OpenFaaS,20.45209903121636
39,OpenFaaS,20.17887500923941
40,OpenFaaS,20.13519344167985
41,OpenFaaS,19.8767227647344
42,OpenFaaS,20.116318850496068
43,OpenFaaS,20.051961894610617
44,OpenFaaS,20.01819836214741
45,OpenFaaS,20.37779790399793
46,OpenFaaS,20.489977728285076
47,OpenFaaS,20.313657693257596
48,OpenFaaS,20.43919946468763
49,OpenFaaS,20.526630760023934
50,OpenFaaS,20.964360587002098
51,OpenFaaS,20.75460729027382
52,OpenFaaS,20.400156924284033
53,OpenFaaS,20.73320666145077
54,OpenFaaS,20.641074646426034
55,OpenFaaS,20.733480532069578
56,OpenFaaS,20.72429288924134
57,OpenFaaS,20.932794711715022
58,OpenFaaS,21.042811236653883
59,OpenFaaS,21.25250861935882
60,OpenFaaS,20.97587774059831
61,OpenFaaS,20.09128123088505
62,OpenFaaS,20.142015129716434
63,OpenFaaS,20.09203152763224
64,OpenFaaS,20.192004326858072
65,OpenFaaS,20.24381562555615
66,OpenFaaS,20.896467501922295
67,OpenFaaS,20.859277708592774
68,OpenFaaS,20.955315870570107
69,OpenFaaS,20.626921762897165
70,OpenFaaS,20.55024324777722
71,OpenFaaS,20.877089809291775
72,OpenFaaS,20.769801368169453
73,OpenFaaS,20.64396234799822
74,OpenFaaS,20.218579234972676
75,OpenFaaS,20.410543503615582
76,OpenFaaS,20.25972047678891
77,OpenFaaS,21.035788159075828
78,OpenFaaS,20.68416865552904
79,OpenFaaS,20.525573454086558
80,OpenFaaS,20.695517203148675
81,OpenFaaS,20.607690630224614
82,OpenFaaS,20.393661621544805
83,OpenFaaS,20.459187266708923
84,OpenFaaS,20.519979061245856
85,OpenFaaS,20.244292470484165
86,OpenFaaS,20.2919068325075
87,OpenFaaS,20.684736091298145
88,OpenFaaS,20.843907555916488
89,OpenFaaS,20.76182224147699
90,OpenFaaS,20.94484524086572
91,OpenFaaS,20.980172584151244
92,OpenFaaS,21.1230648123852
93,OpenFaaS,19.935691318327976
94,OpenFaaS,20.524017467248907
95,OpenFaaS,20.4401549148583
96,OpenFaaS,20.329753441234306
97,OpenFaaS,20.412457912457914
98,OpenFaaS,20.926117991580746
99,OpenFaaS,20.82269162585259
100,OpenFaaS,20.744428639165484
10,Spin,18.641810918774965
11,Spin,17.6
12,Spin,17.60268231349539
13,Spin,17.721518987341774
14,Spin,18.14814814814815
15,Spin,17.40139211136891
16,Spin,18.205461638491546
17,Spin,17.600946605531725
18,Spin,18.095648427401983
19,Spin,18.956670467502853
20,Spin,17.89366053169734
21,Spin,18.73327386262266
22,Spin,18.812606889811878
23,Spin,18.666666666666664
24,Spin,18.876404494382022
25,Spin,18.65075135884046
26,Spin,18.782249742002065
27,Spin,18.56581532416503
28,Spin,19.03836813987372
29,Spin,18.901303538175046
30,Spin,19.115237575095577
31,Spin,19.16453236774706
32,Spin,19.27710843373494
33,Spin,19.518377693282634
34,Spin,19.506597819850832
35,Spin,19.528136457835167
36,Spin,19.183922046285016
37,Spin,19.39203354297694
38,Spin,18.987793561282032
39,Spin,19.293286219081274
40,Spin,18.83619239825093
41,Spin,19.109128437312737
42,Spin,18.892173242513813
43,Spin,19.330807269924858
44,Spin,19.411356904266714
45,Spin,19.599303135888505
46,Spin,19.617399780675033
47,Spin,19.414611117667885
48,Spin,19.520130134200894
49,Spin,19.668558977005564
50,Spin,19.393805064553664
51,Spin,19.545578976183958
52,Spin,19.34215420585578
53,Spin,19.26772266943651
54,Spin,19.522776572668114
55,Spin,19.21253555566645
56,Spin,19.34656006317244
57,Spin,19.317356572258532
58,Spin,18.956018302362498
59,Spin,19.289150436691422
60,Spin,19.038984587488667
61,Spin,19.036155320761445
62,Spin,19.42095135812413
63,Spin,19.301470588235297
64,Spin,19.36543615457768
65,Spin,19.63830981052268
66,Spin,19.408502772643253
67,Spin,19.48078920041537
68,Spin,19.508196721311474
69,Spin,19.678943937418513
70,Spin,19.374481040686412
71,Spin,19.497842291094546
72,Spin,19.37046004842615
73,Spin,19.680338917773927
74,Spin,19.635343618513325
75,Spin,19.605646426170736
76,Spin,19.60134114439409
77,Spin,19.28719673656337
78,Spin,19.22806029018172
79,Spin,19.178747312200873
80,Spin,19.26252063841497
81,Spin,19.590905949830695
82,Spin,19.69125214408233
83,Spin,19.65759913384761
84,Spin,19.650436119373058
85,Spin,19.538946538815182
86,Spin,19.588064946474475
87,Spin,19.33824463355773
88,Spin,19.572953736654803
89,Spin,19.52060159799467
90,Spin,19.607843137254903
91,Spin,19.543474259066084
92,Spin,19.515151515151516
93,Spin,19.5120489149982
94,Spin,19.52232606438214
95,Spin,19.675720456831765
96,Spin,19.650846565488198
97,Spin,19.65950547223348
98,Spin,19.61961961961962
99,Spin,19.759915599783298
100,Spin,19.58863858961802

