input_mb,baseline,latency_s
1,GoldFish,0.03857142857142857
2,GoldFish,0.04914285714285715
3,GoldFish,0.05971428571428571
4,GoldFish,0.07
5,GoldFish,0.08214285714285714
6,GoldFish,0.09314285714285714
7,GoldFish,0.103
8,GoldFish,0.11285714285714286
9,GoldFish,0.12371428571428571
10,GoldFish,0.13428571428571429
11,GoldFish,0.14514285714285713
12,GoldFish,0.16185714285714287
13,GoldFish,0.1675714285714286
14,GoldFish,0.179
15,GoldFish,0.20114285714285715
16,GoldFish,0.20457142857142857
17,GoldFish,0.24414285714285713
18,GoldFish,0.2454285714285714
19,GoldFish,0.26557142857142857
20,GoldFish,0.28
21,GoldFish,0.2877142857142857
22,GoldFish,0.31442857142857145
23,GoldFish,0.33085714285714285
24,GoldFish,0.35114285714285715
25,GoldFish,0.3628571428571428
26,GoldFish,0.37742857142857145
27,GoldFish,0.38771428571428573
28,GoldFish,0.4078571428571428
29,GoldFish,0.40628571428571425
30,GoldFish,0.4492857142857143
31,GoldFish,0.45242857142857146
32,GoldFish,0.48557142857142854
33,GoldFish,0.5187142857142857
34,GoldFish,0.6524285714285715
35,GoldFish,0.6314285714285715
36,GoldFish,0.6652857142857144
37,GoldFish,0.6785714285714286
38,GoldFish,0.6881428571428571
39,GoldFish,0.6991428571428571
40,GoldFish,0.7265714285714285
41,GoldFish,0.7388571428571429
42,GoldFish,0.7644285714285715
43,GoldFish,0.7584285714285715
44,GoldFish,0.8105714285714286
45,GoldFish,0.7918571428571429
46,GoldFish,0.8291428571428571
47,GoldFish,0.8292857142857143
48,GoldFish,0.899
49,GoldFish,0.899
50,GoldFish,0.9187142857142857
1,OpenFaaS,0.2715714285714286
2,OpenFaaS,0.38457142857142856
3,OpenFaaS,0.5048571428571428
4,OpenFaaS,0.6207142857142857
5,OpenFaaS,0.7417142857142857
6,OpenFaaS,0.8587142857142857
7,OpenFaaS,0.9827142857142857
8,OpenFaaS,1.098142857142857
9,OpenFaaS,1.2155714285714287
10,OpenFaaS,1.3244285714285713
11,OpenFaaS,1.4587142857142859
12,OpenFaaS,1.5711428571428572
13,OpenFaaS,1.6837142857142857
14,OpenFaaS,1.7974285714285714
15,OpenFaaS,1.9184285714285714
16,OpenFaaS,2.034
17,OpenFaaS,2.176142857142857
18,OpenFaaS,2.2915714285714284
19,OpenFaaS,2.4138571428571427
20,OpenFaaS,2.5428571428571427
21,OpenFaaS,2.6498571428571425
22,OpenFaaS,2.7724285714285717
23,OpenFaaS,2.8898571428571427
24,OpenFaaS,3.0148571428571427
25,OpenFaaS,3.12
26,OpenFaaS,3.2664285714285715
27,OpenFaaS,3.3871428571428575
28,OpenFaaS,3.496714285714286
29,OpenFaaS,3.625285714285714
30,OpenFaaS,3.7288571428571426
31,OpenFaaS,3.865142857142857
32,OpenFaaS,3.9867142857142857
33,OpenFaaS,4.093857142857143
34,OpenFaaS,4.236571428571429
35,OpenFaaS,4.3582857142857145
36,OpenFaaS,4.4832857142857145
37,OpenFaaS,4.610857142857143
38,OpenFaaS,4.75
39,OpenFaaS,4.841714285714286
40,OpenFaaS,4.950714285714286
41,OpenFaaS,5.070857142857143
42,OpenFaaS,5.206571428571428
43,OpenFaaS,5.320714285714286
44,OpenFaaS,5.424285714285714
45,OpenFaaS,5.525714285714285
46,OpenFaaS,5.643571428571429
47,OpenFaaS,5.780142857142857
48,OpenFaaS,5.888
49,OpenFaaS,6.028
50,OpenFaaS,6.144428571428572
1,Spin,0.21757142857142858
2,Spin,0.29157142857142854
3,Spin,0.37114285714285716
4,Spin,0.45471428571428574
5,Spin,0.5361428571428571
6,Spin,0.6182857142857143
7,Spin,0.7005714285714285
8,Spin,0.7851428571428571
9,Spin,0.8665714285714285
10,Spin,0.95
11,Spin,1.0391428571428571
12,Spin,1.125
13,Spin,1.2174285714285713
14,Spin,1.278857142857143
15,Spin,1.3674285714285714
16,Spin,1.443
17,Spin,1.5247142857142857
18,Spin,1.6114285714285714
19,Spin,1.7061428571428572
20,Spin,1.7775714285714286
21,Spin,1.8585714285714288
22,Spin,1.951142857142857
23,Spin,2.0317142857142856
24,Spin,2.116714285714286
25,Spin,2.2085714285714286
26,Spin,2.289142857142857
27,Spin,2.3995714285714285
28,Spin,2.467714285714286
29,Spin,2.55
30,Spin,2.6245714285714286
31,Spin,2.7221428571428574
32,Spin,2.8065714285714285
33,Spin,2.8812857142857142
34,Spin,2.9852857142857143
35,Spin,3.0771428571428574
36,Spin,3.1541428571428574
37,Spin,3.2461428571428574
38,Spin,3.327857142857143
39,Spin,3.4201428571428574
40,Spin,3.4977142857142858
41,Spin,3.5954285714285716
42,Spin,3.6757142857142857
43,Spin,3.782
44,Spin,3.859857142857143
45,Spin,3.9211428571428573
46,Spin,4.039571428571429
47,Spin,4.136857142857143
48,Spin,4.1772857142857145
49,Spin,4.2658571428571435
50,Spin,4.3618571428571435

