input_mb,baseline,throughput_rps
1,GoldFish,25.925925925925927
2,GoldFish,20.348837209302324
3,GoldFish,16.74641148325359
4,GoldFish,14.285714285714285
5,GoldFish,12.173913043478262
6,GoldFish,10.736196319018406
7,GoldFish,9.708737864077671
8,GoldFish,8.860759493670885
9,GoldFish,8.083140877598153
10,GoldFish,7.446808510638298
11,GoldFish,6.88976377952756
12,GoldFish,6.178287731685789
13,GoldFish,5.967604433077578
14,GoldFish,5.58659217877095
15,GoldFish,4.971590909090909
16,GoldFish,4.888268156424581
17,GoldFish,4.095962551199532
18,GoldFish,4.074505238649593
19,GoldFish,3.765465303926842
20,GoldFish,3.571428571428571
21,GoldFish,3.4756703078450846
22,GoldFish,3.180372557928214
23,GoldFish,3.0224525043177892
24,GoldFish,2.8478437754271764
25,GoldFish,2.755905511811024
26,GoldFish,2.6495079485238455
27,GoldFish,2.5792188651436994
28,GoldFish,2.4518388791593697
29,GoldFish,2.4613220815752466
30,GoldFish,2.2257551669316373
31,GoldFish,2.2102936532996527
32,GoldFish,2.0594292438952633
33,GoldFish,1.9278435692646656
34,GoldFish,1.5327348368732208
35,GoldFish,1.583710407239819
36,GoldFish,1.5031135924414858
37,GoldFish,1.4736842105263157
38,GoldFish,1.453186630682998
39,GoldFish,1.430322844299142
40,GoldFish,1.376327172630751
41,GoldFish,1.3534416086620262
42,GoldFish,1.3081666978134927
43,GoldFish,1.3185157280090412
44,GoldFish,1.2336975678533662
45,GoldFish,1.2628540501533465
46,GoldFish,1.206064782908339
47,GoldFish,1.205857019810508
48,GoldFish,1.1123470522803114
49,GoldFish,1.1123470522803114
50,GoldFish,1.0884776862074328
1,OpenFaaS,3.682272488164124
2,OpenFaaS,2.600297176820208
3,OpenFaaS,1.9807583474816075
4,OpenFaaS,1.611047180667434
5,OpenFaaS,1.3482280431432976
6,OpenFaaS,1.1645316918981867
7,OpenFaaS,1.0175897659543538
8,OpenFaaS,0.9106283335501496
9,OpenFaaS,0.8226583617346338
10,OpenFaaS,0.755042605975623
11,OpenFaaS,0.6855352071295661
12,OpenFaaS,0.6364793598836151
13,OpenFaaS,0.5939249957576787
14,OpenFaaS,0.5563503417580671
15,OpenFaaS,0.5212599597885174
16,OpenFaaS,0.4916420845624386
17,OpenFaaS,0.45952865489398015
18,OpenFaaS,0.4363817717099932
19,OpenFaaS,0.41427472332366694
20,OpenFaaS,0.39325842696629215
21,OpenFaaS,0.3773788344385143
22,OpenFaaS,0.3606945947338589
23,OpenFaaS,0.34603786642938356
24,OpenFaaS,0.33169067475360126
25,OpenFaaS,0.3205128205128205
26,OpenFaaS,0.3061447627378089
27,OpenFaaS,0.2952340784479123
28,OpenFaaS,0.28598275932508066
29,OpenFaaS,0.27584032785593254
30,OpenFaaS,0.2681786836257758
31,OpenFaaS,0.25872264931992905
32,OpenFaaS,0.25083312430572974
33,OpenFaaS,0.24426841609379907
34,OpenFaaS,0.23603992446722416
35,OpenFaaS,0.22944801363576767
36,OpenFaaS,0.2230506962368161
37,OpenFaaS,0.21687941504523484
38,OpenFaaS,0.21052631578947367
39,OpenFaaS,0.20653841614540305
40,OpenFaaS,0.2019910546818641
41,OpenFaaS,0.19720531890917284
42,OpenFaaS,0.19206497283652527
43,OpenFaaS,0.1879446905624916
44,OpenFaaS,0.18435607058203846
45,OpenFaaS,0.18097207859358844
46,OpenFaaS,0.17719276041007467
47,OpenFaaS,0.17300610464397817
48,OpenFaaS,0.16983695652173914
49,OpenFaaS,0.16589250165892502
50,OpenFaaS,0.16274906419288088
1,Spin,4.596191726854891
2,Spin,3.4296913277805
3,Spin,2.6943802925327174
4,Spin,2.1991831605403704
5,Spin,1.8651745270450306
6,Spin,1.6173752310536043
7,Spin,1.4274061990212072
8,Spin,1.2736535662299855
9,Spin,1.153972964061985
10,Spin,1.0526315789473684
11,Spin,0.962331591971405
12,Spin,0.8888888888888888
13,Spin,0.8214034264257217
14,Spin,0.7819481680071492
15,Spin,0.7312996239030506
16,Spin,0.693000693000693
17,Spin,0.655860582778975
18,Spin,0.6205673758865248
19,Spin,0.5861173909402998
20,Spin,0.5625652977577754
21,Spin,0.5380476556495003
22,Spin,0.5125201347195782
23,Spin,0.4921951905498524
24,Spin,0.472430316528312
25,Spin,0.45278137128072443
26,Spin,0.436844732900649
27,Spin,0.4167410847175091
28,Spin,0.40523329859905055
29,Spin,0.3921568627450981
30,Spin,0.3810145874156325
31,Spin,0.36735764891104694
32,Spin,0.35630662730326784
33,Spin,0.3470672814715653
34,Spin,0.33497631238933817
35,Spin,0.32497678737233054
36,Spin,0.3170433443543639
37,Spin,0.30805791488799894
38,Spin,0.30049366816913503
39,Spin,0.2923854475585815
40,Spin,0.28590099656918805
41,Spin,0.2781309599491418
42,Spin,0.2720559657986786
43,Spin,0.26441036488630354
44,Spin,0.2590769458529183
45,Spin,0.25502768872048964
46,Spin,0.24755101319093256
47,Spin,0.24172940120174044
48,Spin,0.23938989774631508
49,Spin,0.23441947690968148
50,Spin,0.22926014476140566

